yearID,teamID,W,G,R,RA,HR,H,SO,SV,attendance,ERA
2011,BAL,69,162,708,860,191,1434,1120.0,32,1755461.0,4.920967741935484
2011,BOS,90,162,875,737,203,1600,1108.0,36,3054001.0,4.199451052150046
2011,CHA,79,162,654,706,154,1387,989.0,42,2001117.0,4.0993150684931505
2011,CLE,80,162,704,760,154,1380,1269.0,38,1840835.0,4.241972477064221
2011,DET,95,162,787,711,169,1540,1143.0,52,2642045.0,4.04375
2011,KCA,71,162,730,762,129,1560,1006.0,37,1724450.0,4.446256316031236
2011,LAA,86,162,667,633,155,1394,1086.0,39,3166321.0,3.569283276450512
2011,MIN,63,162,619,804,103,1357,1048.0,32,3168116.0,4.59601406799531
2011,NYA,97,162,867,657,222,1452,1138.0,47,3653680.0,3.733714285714286
2011,OAK,74,162,645,679,114,1330,1094.0,39,1476791.0,3.7114897536265254
2011,SEA,67,162,556,675,109,1263,1280.0,39,1939421.0,3.9127704117236566
2011,TBA,91,162,707,614,172,1324,1193.0,32,1529188.0,3.5838509316770186
2011,TEX,96,162,855,677,210,1599,930.0,38,2946949.0,3.790240518038853
2011,TOR,81,162,743,761,186,1384,1184.0,33,1818103.0,4.32518281535649
2011,ARI,94,162,731,662,172,1357,1249.0,58,2105432.0,3.7974595842956123
2011,ATL,89,162,641,605,173,1345,1260.0,52,2372940.0,3.485244424419914
2011,CHN,71,162,654,756,148,1423,1202.0,40,3017966.0,4.3420869161050435
2011,CIN,79,162,735,720,183,1438,1250.0,39,2213588.0,4.157619804678628
2011,COL,73,162,735,774,163,1429,1201.0,41,2909777.0,4.438867142528206
2011,FLO,72,162,625,702,149,1358,1244.0,40,1477462.0,3.952272208266727
2011,HOU,56,162,615,796,95,1442,1164.0,25,2067016.0,4.509407665505226
2011,LAN,82,161,644,612,117,1395,1087.0,40,2935139.0,3.5635474860335195
2011,MIL,96,162,721,638,185,1422,1083.0,47,3071373.0,3.6395375722543353
2011,NYN,77,162,718,742,108,1477,1085.0,43,2352596.0,4.189226519337017
2011,PHI,102,162,713,529,153,1409,1024.0,47,3680718.0,3.022342586323629
2011,PIT,72,162,610,712,107,1325,1308.0,43,1940429.0,4.048758049678013
2011,SDN,71,162,593,611,91,1284,1320.0,44,2143018.0,3.427782888684453
2011,SFN,86,162,570,578,121,1327,1122.0,52,3387303.0,3.206403269754768
2011,SLN,90,162,762,692,162,1513,978.0,47,3093954.0,3.7859097127222983
2011,WAS,80,161,624,643,154,1319,1323.0,49,1940478.0,3.5830266789328427
2012,BAL,93,162,712,705,214,1375,1315.0,55,2102240.0,3.8961564396493595
2012,BOS,69,162,734,806,165,1459,1197.0,35,3043003.0,4.721413721413722
2012,CHA,85,162,748,676,211,1409,1203.0,37,1965955.0,4.02167396818077
2012,CLE,68,162,667,845,136,1385,1087.0,43,1603596.0,4.787101248266297
2012,DET,88,162,726,670,163,1467,1103.0,40,3028033.0,3.7681733457595525
2012,KCA,72,162,676,746,131,1492,1032.0,44,1739859.0,4.297427652733119
2012,LAA,89,162,767,699,187,1518,1113.0,38,3061770.0,4.018604651162791
2012,MIN,66,162,701,832,131,1448,1069.0,35,2776354.0,4.766913809082483
2012,NYA,95,162,804,668,245,1462,1176.0,51,3542406.0,3.8544741697416978
2012,OAK,94,162,713,614,195,1315,1387.0,47,1679013.0,3.4959183673469387
2012,SEA,75,162,619,651,149,1285,1259.0,43,1721920.0,3.762700228832952
2012,TBA,90,162,697,577,175,1293,1323.0,50,1559681.0,3.1938798812514273
2012,TEX,93,162,808,707,200,1526,1103.0,43,3460280.0,4.019417475728155
2012,TOR,73,162,716,784,198,1346,1251.0,29,2099663.0,4.644423920572616
2012,ARI,81,162,734,688,165,1416,1266.0,39,2177617.0,3.942338990932341
